Start,End,Open,High,Low,Close,Volume,Market Cap
2018-06-27,2018-06-28,0.948047112,0.998031612,0.932328861,0.986166185,43553409.42000107,2662619501.334158
2018-06-26,2018-06-27,1.017371624,1.022792351,0.945346698,0.950064536,45915702.25850056,2754122570.6140294
2018-06-25,2018-06-26,0.972373182,1.0329623,0.959637995,1.017145217,62621585.81126164,2766444815.7955613
2018-06-24,2018-06-25,1.036423617,1.037594504,0.906093827,0.972557897,57878878.43499615,2696405289.2597847
2018-06-23,2018-06-24,0.976783866,1.054526493,0.969291299,1.036843732,75310522.23287472,2814188184.503559
2018-06-22,2018-06-23,1.1571371,1.165524887,0.962322598,0.977148269,54970224.7905768,2962349290.1756573
2018-06-21,2018-06-22,1.160550551,1.176511425,1.145023087,1.156037438,51599324.21630108,3219875630.742735
2018-06-20,2018-06-21,1.174946138,1.176332032,1.11421536,1.161387698,66585081.82458598,3187466896.0022187
2018-06-19,2018-06-20,1.179571045,1.23679177,1.164089352,1.172560112,56399078.57815148,3290093786.7284446
2018-06-18,2018-06-19,1.167276634,1.220592936,1.090986236,1.17971197,38451427.36361874,3208932272.965078
2018-06-17,2018-06-18,1.19774334,1.208619074,1.166444207,1.168697027,29697142.76605531,3292538101.8808236
2018-06-16,2018-06-17,1.190195414,1.229453802,1.169209387,1.201175706,38253261.72897361,3314706971.267955
2018-06-15,2018-06-16,1.277190733,1.291598279,1.171859558,1.186367576,50332377.4407477,3454209335.9067807
2018-06-14,2018-06-15,1.197914608,1.302711499,1.18659048,1.272441542,65009376.478810094,3495846321.6841116
2018-06-13,2018-06-14,1.252393277,1.2884748,1.168057221,1.197914608,60352379.89896672,3405952322.9842305
2018-06-12,2018-06-13,1.440160645,1.440160645,1.243507744,1.250642726,48149585.183075584,3802993775.356534
2018-06-11,2018-06-12,1.363012927,1.440252715,1.332155901,1.439007107,71124648.34967074,3820101978.3295517
2018-06-10,2018-06-11,1.631789535,1.636060889,1.334019198,1.359713926,72599897.73049085,4123892709.4667325
2018-06-09,2018-06-10,1.715418743,1.740169014,1.632981429,1.633121993,21286354.63536263,4711348408.614885
2018-06-08,2018-06-09,1.69669773,1.727609842,1.677430594,1.715048775,19804311.76049781,4728982520.961431
2018-06-07,2018-06-08,1.692140585,1.740809379,1.683724976,1.694210366,30843908.947294552,4790172059.322592
2018-06-06,2018-06-07,1.754300031,1.764126916,1.658944926,1.693267595,28082384.071849193,4769897105.50854
2018-06-05,2018-06-06,1.736887937,1.780895203,1.682144627,1.754300031,36763621.67518883,4769880014.512793
2018-06-04,2018-06-05,1.809297767,1.842477034,1.703851579,1.736296448,71894905.16958,4876478390.188684
2018-06-03,2018-06-04,1.895154505,2.001460214,1.703851579,1.797303708,53788229.41043378,5265786180.042455
2018-06-02,2018-06-03,1.948705343,1.948705343,1.703851579,1.894261014,61915601.36224797,5243867334.249646
2018-06-01,2018-06-02,1.761179905,1.950465045,1.703851579,1.949599101,71287670.33068328,5070988326.928744
2018-05-31,2018-06-01,1.577930449,1.802982734,1.571983379,1.760331831,53946486.683601156,4735132001.604731
2018-05-30,2018-05-31,1.589528774,1.703851579,1.528340471,1.57840872,61408752.41198869,4434141815.42031
2018-05-29,2018-05-30,1.352807366,1.703851579,1.342115035,1.588931466,36250157.48752031,4111599664.201648
2018-05-28,2018-05-29,1.462098149,1.703851579,1.352396619,1.352935224,22633746.414292164,3958174249.3570795
2018-05-27,2018-05-28,1.481128343,1.703851579,1.42801295,1.46206768,33500696.98808016,4034130192.4851193
2018-05-26,2018-05-27,1.487906706,1.541937139,1.466986837,1.481750103,35905159.460922405,4208291997.015065
2018-05-25,2018-05-26,1.53308259,1.580295635,1.464581457,1.486725462,47796186.01239031,4233234674.640418
2018-05-24,2018-05-25,1.485636358,1.548581278,1.410416694,1.530431977,66539761.628789395,4170268621.2123513
2018-05-23,2018-05-24,1.634209766,1.644133457,1.420180764,1.488010809,54089158.785538584,4281611234.59261
2018-05-22,2018-05-23,1.724188108,1.74146751,1.627232078,1.633630099,40458106.23355538,4743150143.563015
2018-05-21,2018-05-22,1.823834517,1.837959359,1.716622727,1.726352842,41814296.8521847,4951518374.643392
2018-05-20,2018-05-21,1.744721277,1.840461463,1.737164293,1.824056186,42458523.73652253,4979320077.701508
2018-05-19,2018-05-20,1.756631297,1.810752209,1.715965908,1.744314162,43726064.33242724,4903309127.03594
2018-05-18,2018-05-19,1.714220837,1.779241759,1.665917381,1.757962729,63883384.53696649,4827140495.281652
2018-05-17,2018-05-18,1.897818522,1.953065839,1.700871753,1.716278659,61157948.10191903,5229135481.040404
2018-05-16,2018-05-17,1.998406015,1.998406015,1.80789196,1.896896384,68462256.722516,5208902333.434426
2018-05-15,2018-05-16,1.929273184,2.082781737,1.913571428,1.99586316,61117975.16200756,5540428795.370908
2018-05-14,2018-05-15,1.999629701,1.999629701,1.822512093,1.931751247,52830982.282366924,5403486749.909974
2018-05-13,2018-05-14,1.891439982,2.019597901,1.820582828,1.996595641,52811315.02536926,5408157560.029702
2018-05-12,2018-05-13,1.837429796,1.94057511,1.706287186,1.890249318,72858904.55222574,5158594540.397054
2018-05-11,2018-05-12,2.14496623,2.14496623,1.808035603,1.838004829,76671074.32824428,5399968506.483065
2018-05-10,2018-05-11,2.269742264,2.30430794,2.150199006,2.150199006,56720011.49137013,6266510656.643317
2018-05-09,2018-05-10,2.449886619,2.449886619,2.259422482,2.265407622,106384440.41848764,6422439056.848593
2018-05-08,2018-05-09,2.244811913,2.610508813,2.244621425,2.44970097,111788822.75397524,6613711080.066418
2018-05-07,2018-05-08,2.308304898,2.308304898,2.109385103,2.244857933,46245142.74194133,6097009504.690142
2018-05-06,2018-05-07,2.385073296,2.510195442,2.227545409,2.308304898,35076951.62535458,6483816336.253297
2018-05-05,2018-05-06,2.454292717,2.488875798,2.31895488,2.384468425,36075814.106042,6636813951.734014
2018-05-04,2018-05-05,2.564415445,2.564415445,2.351348538,2.454955668,97320746.91994566,6833079661.431394
2018-05-03,2018-05-04,2.259866857,2.67638795,2.242035547,2.564957704,112927609.34888151,6794155591.5319395
2018-05-02,2018-05-03,1.954072836,2.296691265,1.945669386,2.260592342,30621581.953405984,5881928795.636871
2018-05-01,2018-05-02,1.949839218,1.955342349,1.831105875,1.954068038,22723344.314738203,5243104527.192965
2018-04-30,2018-05-01,2.031888357,2.043294005,1.934507909,1.947332794,25900965.038271345,5531302539.429764
2018-04-29,2018-04-30,2.021765491,2.114602572,1.941643422,2.031888357,31064240.58519744,5671382394.935965
2018-04-28,2018-04-29,1.900663001,2.081765769,1.854202157,2.021765491,48478255.27342885,5558429761.521898
2018-04-27,2018-04-28,2.038304884,2.08885655,1.890648505,1.903492228,51156991.683565855,5582845625.950656
2018-04-26,2018-04-27,1.785985356,2.044364559,1.750620081,2.0363991,74603945.34169778,5221700767.533619
2018-04-25,2018-04-26,2.150486505,2.150486505,1.738266194,1.787902235,99958820.50331168,5284825240.981333
2018-04-24,2018-04-25,2.125852,2.224626807,2.119062961,2.15130232,67972713.58224721,6051549046.091962
2018-04-23,2018-04-24,2.002178636,2.205726427,1.964312256,2.126624658,68426642.78945883,5798486067.549221
2018-04-22,2018-04-23,1.915497854,2.09624434,1.88868403,2.009464609,57205662.97323177,5611415246.613339
2018-04-21,2018-04-22,1.962864612,1.996240836,1.796152405,1.915389641,72691596.87869535,5313095762.090912
2018-04-20,2018-04-21,1.767957496,2.011199116,1.745900029,1.963874136,59919365.66932732,5229927590.527395
2018-04-19,2018-04-20,1.689546368,1.779617519,1.640185018,1.767340292,48266613.89510244,4726953725.715012
2018-04-18,2018-04-19,1.543699569,1.688040413,1.543699569,1.687789679,41545369.308602095,4518699967.699788
2018-04-17,2018-04-18,1.623444291,1.666908488,1.535786262,1.544390458,49708519.70976802,4461887303.225433
2018-04-16,2018-04-17,1.666912197,1.690558186,1.524015204,1.624004252,85161000.48869908,4464588071.553931
2018-04-15,2018-04-16,1.42376293,1.684014701,1.42376293,1.636059042,71085865.31031153,4428004518.987717
2018-04-14,2018-04-15,1.323134104,1.447426585,1.290910163,1.424383981,57750404.883081146,3753966630.323151
2018-04-13,2018-04-14,1.338459294,1.489745755,1.295461079,1.324284154,75886191.35469358,3831154987.465095
2018-04-12,2018-04-13,1.070212569,1.377385487,1.035252637,1.345468252,31016392.32800295,3213283072.004724
2018-04-11,2018-04-12,1.008858731,1.069756397,1.00506151,1.069756397,15097435.57490667,2863530563.945575
2018-04-10,2018-04-11,0.988474752,1.017349856,0.968939704,1.010823191,16022499.305549935,2782167135.775124
2018-04-09,2018-04-10,1.020143563,1.06480886,0.968189577,0.983004193,18432151.842791934,2823403353.181236
2018-04-08,2018-04-09,0.978508792,1.057746793,0.978508792,1.017719748,11359420.606721355,2808762900.5172534
2018-04-07,2018-04-08,0.933596069,1.01609439,0.933596069,0.979354273,6667100.754219644,2721982799.7338133
2018-04-06,2018-04-07,0.982268254,1.026009599,0.891850162,0.933897033,9748168.325598808,2631906824.3334146
2018-04-05,2018-04-06,0.991846795,0.991846795,0.952080639,0.984431047,13102093.128065046,2687899161.1645384
2018-04-04,2018-04-05,1.112417042,1.112417042,0.967886668,0.991980099,17465810.83227322,2847287216.945357
2018-04-03,2018-04-04,1.027953424,1.117963157,1.027953424,1.106286539,18990215.664674945,3007018206.3897696
2018-04-02,2018-04-03,0.992792476,1.116314903,0.989923871,1.027484679,25075062.866529282,2861587191.0424013
2018-04-01,2018-04-02,1.073606977,1.094681199,0.955816684,0.99166746,21078435.67139518,2895425565.9139323
2018-03-31,2018-04-01,1.108477632,1.152647756,1.070043431,1.073971547,25043415.319560423,3092117614.7810154
2018-03-30,2018-03-31,1.092549878,1.135825791,1.04976359,1.107871051,29225755.32442575,3025249506.4316163
2018-03-29,2018-03-30,1.18718442,1.192466496,1.062979224,1.101376895,21288951.54903015,3139565395.6335444
2018-03-28,2018-03-29,1.172621359,1.23831279,1.163525491,1.187326023,19125600.075729158,3330888915.0053153
2018-03-27,2018-03-28,1.234355064,1.239609858,1.153206939,1.173799067,22990187.496370085,3313902886.3136377
2018-03-26,2018-03-27,1.320633329,1.326173826,1.179028684,1.233133815,20500961.02775055,3502432032.201108
2018-03-25,2018-03-26,1.318755873,1.369827943,1.278742399,1.322652191,22462154.11270635,3639800359.4026465
2018-03-24,2018-03-25,1.331251644,1.404975848,1.325462246,1.326078823,22763262.03871923,3863190048.4081016
2018-03-23,2018-03-24,1.32637,1.33458,1.254655907,1.322316817,27651395.61632571,3581618697.359276
2018-03-22,2018-03-23,1.369781821,1.408510263,1.266679716,1.32483,35872964.14758789,3722930615.141068
2018-03-21,2018-03-22,1.427284563,1.500242505,1.340464411,1.367056448,51481876.31241663,4009203095.9551854
2018-03-20,2018-03-21,1.324178176,1.518663042,1.295542198,1.421372264,42837135.690845475,3863983310.9577217
2018-03-19,2018-03-20,1.224214768,1.340247341,1.185823021,1.320336702,68514588.34600548,3507422336.1467113
2018-03-18,2018-03-19,1.140698259,1.283256235,1.063093047,1.222909215,58484395.46610036,3191345398.9103365
2018-03-17,2018-03-18,1.098706712,1.151265784,1.063944439,1.133524626,22111081.153409477,3082335032.6380863
2018-03-16,2018-03-17,1.090305053,1.146261111,1.036305861,1.099428009,25271785.05153112,3094261638.9279222
2018-03-15,2018-03-16,1.119095571,1.133690593,1.036429332,1.089544664,33818678.26561332,3027547899.622924
2018-03-14,2018-03-15,1.306532494,1.368182778,1.100681148,1.119699675,24181206.408119984,3439809049.301659
2018-03-13,2018-03-14,1.332769919,1.346324076,1.273463454,1.306476586,14403920.14274561,3658160423.078839
2018-03-12,2018-03-13,1.385485716,1.413085514,1.262909808,1.328505171,16699564.283341551,3747643606.8533125
2018-03-11,2018-03-12,1.300450365,1.42329584,1.260232609,1.385866852,20125848.86906867,3719943330.3015943
2018-03-10,2018-03-11,1.3973,1.470235576,1.276074243,1.301726235,29270929.340736352,3896465965.7053733
2018-03-09,2018-03-10,1.384231934,1.401906646,1.182072646,1.399518329,32053855.35779383,3622484233.9690027
2018-03-08,2018-03-09,1.532945962,1.534962938,1.37234623,1.384912977,43568863.43516636,4059519052.691714
2018-03-07,2018-03-08,1.679208906,1.701887703,1.394491437,1.532373206,45190933.20139993,4520172006.414241
2018-03-06,2018-03-07,1.877173914,1.902871122,1.665615372,1.677511733,28869065.47173646,4932482745.332105
2018-03-05,2018-03-06,1.89426686,1.898888048,1.847415682,1.877466102,14208202.871481566,5215938025.565908
2018-03-04,2018-03-05,1.861285814,1.913823835,1.811657202,1.889589779,16095601.740817377,5200667900.161177
2018-03-03,2018-03-04,1.914554742,1.953750892,1.842969919,1.854661477,16808670.844530158,5241345157.206279
2018-03-02,2018-03-03,1.973367772,2.000080427,1.861701288,1.916111606,22822668.848652747,5392606205.558033
2018-03-01,2018-03-02,1.844695887,2.015019191,1.832965927,1.976270623,27243036.66826316,5430392586.093722
2018-02-28,2018-03-01,1.977231617,2.024540222,1.842520112,1.84316358,42943303.55826808,5356684387.320205
2018-02-27,2018-02-28,1.855973852,2.085353145,1.804509464,1.980456569,30602583.21040422,5385641420.905931
2018-02-26,2018-02-27,1.817117308,1.900444534,1.76441665,1.858478467,41414995.434501596,5090092972.23467
2018-02-25,2018-02-26,1.766521531,1.969089245,1.74551357,1.819748071,63880129.68983184,5163298015.563463
2018-02-24,2018-02-25,1.731981415,1.789702565,1.634061896,1.763751709,24475069.119293198,4827344540.7464285
2018-02-23,2018-02-24,1.608265342,1.804116435,1.565358492,1.733659973,31980012.781404354,4715181995.2011
2018-02-22,2018-02-23,1.738123978,1.847582501,1.561193696,1.61506386,37869565.46003224,4714921142.2770815
2018-02-21,2018-02-22,1.901827136,1.927126467,1.715809264,1.740581412,36620566.271359965,5041364786.950772
2018-02-20,2018-02-21,2.081356228,2.115951196,1.867472452,1.869884064,25606485.13835921,5648405259.742932
2018-02-19,2018-02-20,1.970634508,2.14291127,1.954158315,2.078611593,24971729.318321,5821390429.956064
2018-02-18,2018-02-19,2.203455201,2.213060993,1.966493425,1.969949048,25863700.044630203,5808573656.8680525
2018-02-17,2018-02-18,2.109464326,2.327609462,2.084029615,2.20278476,26498588.44178387,6006002770.198869
2018-02-16,2018-02-17,2.123885471,2.168983594,1.988158974,2.11023566,38822817.829771355,5775141353.812499
2018-02-15,2018-02-16,2.035086787,2.169802288,1.988247644,2.125137441,39777091.81197133,5721136805.429609
2018-02-14,2018-02-15,1.813917543,2.037024397,1.781223387,2.035563391,23767404.068005595,5301910339.985702
2018-02-13,2018-02-14,1.86570417,1.871064067,1.72876077,1.822139094,20461950.548095275,5003001516.535894
2018-02-12,2018-02-13,1.681937192,1.90156799,1.681937192,1.864926603,25937784.685768943,5148765714.317663
2018-02-11,2018-02-12,1.841363693,1.841363693,1.597798511,1.67929409,35693777.79974975,4851543561.103598
2018-02-10,2018-02-11,1.934923054,2.079026728,1.763837788,1.838490196,40553924.47237317,5347855057.4286995
2018-02-09,2018-02-10,1.763335037,1.98311831,1.676611929,1.934923054,30809428.347746156,5075880808.861533
2018-02-08,2018-02-09,1.591895767,1.854061753,1.591895767,1.762682453,46681745.67054542,4965996175.869021
2018-02-07,2018-02-08,1.605191954,1.882988871,1.520938418,1.593415721,69426461.32610121,4737649928.136815
2018-02-06,2018-02-07,1.428853977,1.696579445,1.200575463,1.644496858,66382335.05164058,4054799556.4637523
2018-02-05,2018-02-06,1.734341514,1.763759593,1.334315421,1.425137544,48563458.65879062,4420750787.563385
2018-02-04,2018-02-05,1.999877857,2.079804755,1.661814051,1.750574192,46527537.04793574,5195567936.469491
2018-02-03,2018-02-04,1.797430557,2.032442941,1.632083395,1.987444541,69163930.37713549,5222012890.625248
2018-02-02,2018-02-03,1.916630325,1.921800606,1.417695757,1.796968795,93363716.10482761,4771554599.983815
2018-02-01,2018-02-02,2.293907517,2.318373126,1.747510448,1.919011013,49914453.183689795,5774103271.330283
2018-01-31,2018-02-01,2.20497897,2.346526832,2.176543464,2.294741572,59313205.93788232,6333071946.814037
2018-01-30,2018-01-31,2.571353371,2.630053655,2.190748108,2.216940396,64832057.43270432,6800677316.44718
2018-01-29,2018-01-30,2.516009966,2.592839787,2.406916361,2.57209015,36729751.653367415,6913460920.009417
2018-01-28,2018-01-29,2.456736888,2.563503404,2.446648988,2.516958796,33207221.90751322,6940331335.237451
2018-01-27,2018-01-28,2.367466679,2.494242229,2.362803615,2.444788302,40403327.520059355,6775939751.924599
2018-01-26,2018-01-27,2.361985995,2.448178034,2.198367986,2.378846188,43336831.59172246,6458906201.896976
2018-01-25,2018-01-26,2.444093004,2.597915696,2.342275399,2.368256539,53863594.15822548,6885486944.47637
2018-01-24,2018-01-25,2.500358216,2.500358216,2.500358216,2.500358216,58874803.43637105,7015904228.1232
2018-01-23,2018-01-24,2.457858276,2.606580488,2.242439447,2.497139904,83926866.87679648,6837915471.416305
2018-01-22,2018-01-23,2.764406452,2.887431414,2.167590374,2.465074589,65996905.37567923,7288393420.629082
2018-01-21,2018-01-22,3.021807916,3.025126435,2.629350087,2.756586325,70151265.06758277,7771738403.884735
2018-01-20,2018-01-21,2.68643069,3.137279548,2.68643069,3.021005725,95617426.69119246,8347347915.181666
2018-01-19,2018-01-20,2.731923014,2.921851063,2.52354502,2.681977482,86135330.38256305,7751332169.012346
2018-01-18,2018-01-19,2.715919685,3.01105511,2.584625167,2.727541188,151927129.49856812,7924523412.984034
2018-01-17,2018-01-18,2.603782704,3.139634425,1.974423094,2.725890082,192516499.3324002,6739690542.110782
2018-01-16,2018-01-17,3.482853122,3.482853122,2.034119366,2.60250116,115941336.53070158,8355447866.456288
2018-01-15,2018-01-16,3.739636563,3.769361268,3.474667239,3.481525193,70234804.44346756,10060211410.913427
2018-01-14,2018-01-15,3.961789709,4.000137585,3.564774532,3.744631374,115944968.30415416,10355381046.294418
2018-01-13,2018-01-14,3.721821867,4.148466587,3.721821867,3.967298367,116810589.73748867,10917814377.811485
2018-01-12,2018-01-13,3.383367084,3.767607107,3.297208091,3.714404188,115469631.5605241,9897413197.358856
2018-01-11,2018-01-12,3.796855179,3.846125013,3.200860649,3.349804785,182309506.67271584,9693581545.69719
